corpus,th,rep,gz_perf,gz_w,gz_m,gz_o,gz_ov,rg_perf,rg_w,rg_m,rg_o,rg_ov,gzaa_perf,gzaa_w,gz_cs,rg_cs,gz_mig,rg_mig
silesia,2,1,2263476884,2078327468,133391692,1404480,0,2214443950,1996155476,197340892,3559724,0,2270985982,2085666744,686,376,0,0
silesia,2,2,2271286381,2084091016,135009952,1431724,0,2174824831,1957740764,196924084,2916340,0,2271357776,2081280320,693,362,0,2
silesia,2,3,2271433752,2078534220,135368492,1522024,0,2192115863,1968633044,201756996,3136672,0,2266757758,2077905900,703,364,0,2
silesia,2,4,2269911980,2079468328,133219212,1343720,0,2215119697,1990034984,203392084,3030272,0,2272286360,2087660344,689,373,0,0
silesia,2,5,2267649065,2078721176,134693776,1413916,0,2212390839,1992765656,197427048,2948148,0,2266354176,2080094828,702,373,1,2
silesia,2,6,2283250600,2093110880,135926336,1462048,0,2186946389,1966782440,198105152,3392256,0,2267997534,2075287228,710,362,4,0
silesia,2,7,2268088453,2083595500,133695128,1360716,0,2220500280,1997837436,199808308,2996756,0,2278242535,2083727436,673,368,0,0
silesia,2,8,2265626565,2074712500,133709660,1451128,0,2201339913,1981981960,197398264,3100104,0,2280547759,2091147016,689,370,0,2
silesia,2,9,2275442206,2085577256,135288692,1514576,0,2212268269,1990994516,198836064,4495848,0,2274096329,2084787936,703,372,0,0
silesia,4,1,2440449279,2301245156,135782388,796656,0,2269720052,2050009108,197863736,2872856,0,2441835120,2321269972,719,341,22,16
silesia,4,2,2445695331,2363208232,136294424,747600,0,2274614494,2055622520,198598652,2924712,0,2439655089,2304668464,744,336,25,12
silesia,4,3,2449337662,2306766784,135478280,821940,0,2273358081,2056154296,197575616,2917040,0,2453887091,2316085772,702,338,23,14
silesia,4,4,2460673227,2324281176,137498312,811216,0,2266309419,2049701528,198368800,2897300,0,2446076678,2324928480,768,343,22,15
silesia,4,5,2455178570,2310814632,139322120,825804,0,2251282714,2042597732,208801544,2896208,0,2448106253,2309332452,705,348,22,12
silesia,4,6,2452106121,2318071476,136697316,811328,0,2287179436,2115896608,199344320,2913512,0,2458132362,2310829892,730,335,21,18
silesia,4,7,2441389676,2331201096,139708884,789040,0,2286278496,2078491968,198596608,2885904,0,2444553117,2328088560,752,324,22,19
silesia,4,8,2443799800,2349417084,148373484,791868,0,2273903947,2067696736,197369844,2902396,0,2452116749,2319981440,845,323,20,17
silesia,4,9,2435118305,2310050232,135755368,774928,0,2278410237,2058028532,200059244,2954672,0,2442344146,2298429700,762,335,21,15
squishy,2,1,3824435842,3507415800,232920212,2693348,0,3926674497,3549810544,342923616,7232428,0,3836782331,3519663728,1163,702,0,0
squishy,2,2,3837514185,3519931604,232098440,2765700,0,3936819227,3559530548,342949852,7308448,0,3828854266,3515141112,1171,703,0,0
squishy,2,3,3860077761,3546184292,234319232,2775556,0,3932664274,3558281776,342618864,7113932,0,3846870276,3529173088,1182,703,0,0
squishy,2,4,3838787612,3523564296,232009064,2750888,0,3925522789,3548821948,343002856,6794256,0,3838734885,3529893052,1168,704,0,1
squishy,2,5,3834034992,3529076208,232637608,2719920,0,3921957863,3546536868,343712096,6773984,0,3838084207,3525157328,1164,699,0,0
squishy,2,6,3844079388,3524320016,231687456,2724932,0,3936399342,3563984088,346863160,7206136,0,3828682870,3515105020,1168,703,0,0
squishy,2,7,3835758999,3520915664,233680664,2788688,0,3926587122,3552557148,342193712,7318332,0,3835439133,3524973928,1175,706,0,0
squishy,2,8,3837478858,3526039272,231594104,2701132,0,3929199147,3557402212,342997620,7766920,0,3837629072,3524093160,1159,705,1,0
squishy,2,9,3833384976,3534318984,232706208,2742740,0,3922522660,3543793512,345381008,7000868,0,3860869900,3546496884,1174,702,0,0
squishy,4,1,4416218170,4281083100,241113376,1434076,0,4044662261,3708105996,354900952,6003592,0,4440267669,4193997892,1305,548,44,45
squishy,4,2,4431577312,4256904092,240944480,1404032,0,4127600900,3825333904,415801512,5368692,0,4411464075,4218744460,1315,608,48,41
squishy,4,3,4407003069,4214134792,232238244,1444716,0,4128933999,3834461092,382229764,5354860,0,4421298819,4255379072,1413,601,44,44
squishy,4,4,4411694773,4221418236,238510972,1455608,0,4047401682,3760147048,352781296,5399492,0,4413817326,4247224240,1270,591,46,47
squishy,4,5,4417017729,4205158580,242481092,1455692,0,4085588405,3783074568,345493540,5429704,0,4439083438,4186122472,1150,579,56,41
squishy,4,6,4421991157,4232177404,240521204,1455692,0,4105352955,3798097744,345387728,5367068,0,4437173773,4205196660,1246,581,53,43
squishy,4,7,4430735972,4195338560,232075536,1437156,0,4110594773,3804408972,357915572,5362056,0,4415385567,4246751656,1431,588,47,42
squishy,4,8,4440994941,4196828776,234586688,1433992,0,4088682471,3736273072,342985496,5356512,0,4436431909,4212641972,1438,556,47,38
squishy,4,9,4428230051,4231694880,253453592,1445612,0,4095698736,3766693196,344262912,5358864,0,4426369272,4200979804,1409,593,49,36
monorepo,2,1,617472519,536541628,57904308,363972,0,607826039,507992632,88069912,855064,0,619482622,538479928,251,99,0,0
monorepo,2,2,620063958,541639840,57815184,380744,0,608627793,508326476,87663772,846888,0,617915017,538031480,255,100,0,0
monorepo,2,3,619280259,540598128,57799420,356776,0,610859681,508887652,88203304,952644,0,618205551,537246892,256,98,0,0
monorepo,2,4,614809855,535373496,58368520,389508,0,605448917,505345456,87823932,879452,0,613599343,534424408,255,103,0,0
monorepo,2,5,622663879,540437184,59379684,391244,0,608147676,506965508,88018504,860440,0,613297858,534141468,247,102,0,0
monorepo,2,6,623580682,537894532,63778260,405244,0,612835649,509790400,89207132,843640,0,616912956,540931944,261,107,0,0
monorepo,2,7,616488368,537107480,57959216,370748,0,607072639,506091320,87964548,856016,0,618702241,537327224,246,101,0,0
monorepo,2,8,610036666,531482924,58111928,364420,0,608728621,508441780,87677212,844564,0,614219203,534105096,243,101,0,0
monorepo,2,9,616614883,536102868,58877896,400372,0,606816676,505904420,87714396,932792,0,614066342,534654736,254,101,0,0
monorepo,4,1,686245642,598695776,84087864,359016,0,736351172,621989312,123019988,949536,0,687619368,598295572,267,112,16,14
monorepo,4,2,686233265,600718580,86899960,364952,0,731993938,614881456,121399432,947548,0,690344008,595665364,278,107,15,10
monorepo,4,3,679072113,585882612,79634072,426580,0,727164771,612444140,118003284,961688,0,678209150,585897116,276,109,19,12
monorepo,4,4,677858715,599582172,73901828,414876,0,734634933,604309076,114966348,949760,0,679448602,585068820,317,104,15,10
monorepo,4,5,675580238,583776424,78355284,380464,0,730916690,616999880,115508120,951944,0,676927590,584207540,265,107,11,11
monorepo,4,6,680551527,597965060,74817708,443492,0,724220607,639956996,116650128,970256,0,678288769,584811528,297,106,15,14
monorepo,4,7,679441131,596495312,77780640,390012,0,731463799,614009144,115888444,1046332,0,683293651,592774616,282,105,21,12
monorepo,4,8,678298846,588434308,75815460,417928,0,725499099,611623348,115728536,947996,0,679651759,598501988,264,109,14,12
monorepo,4,9,676270044,589815912,74497360,386736,0,734358668,619663576,120810116,960820,0,686537760,600326244,320,116,11,13
